³                         ³
³ Û   wall                ³
³ ת   floor               ³
³ ±   illusionary wall    ³
³ ³   vertical door       ³
³ ִ   horizontal door     ³
³ ÷   vertical arch       ³
³ ֽ   horizontal arch     ³
³ ^   stair up            ³
³ v   stair down          ³
³ °   pit                 ³
³ ן   teleporter          ³
³ ־   window              ³
³ Ý   pillar              ³
ְִִִִִִִִִִִִִִִִִִִִִִִִִÙ

ֹֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽ»
÷                                 ÷
÷ ÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛ ÷
÷ ÛתתתתתÛתתתÛתתתÛתתתת³תתÛתתתתתתתÛ ÷
÷ ÛִÛתÛÛÛתÛתÛתÛתÛתÛ־ÛÛÛֽÛÛÛתÛÛÛתÛ ÷
÷ ÛתÛתÛתתתÛתתתÛתתתתתתתÛתתתÛתתתÛתÛ ÷
÷ ÛתÛתÛתÛÛÛÛÛÛÛÛִÛÛÛÛתÛ־ÛתÛÛÛÛÛתÛ ÷
÷ ÛתÛתÛתÛvÛתתתÛתתתתתÛת÷תÛתתתת^ÛתÛ ÷
÷ ÛתÛתÛתÛתÛתתת³תתתתתÛÛÛÛÛÛÛÛÛÛÛתÛ ÷
÷ ÛתÛתתתÛתÛתתתÛתתתתתÛתתתתת³תתתתתÛ ÷
÷ ÛתÛÛÛÛÛתÛתתתÛÛÛÛÛÛÛתתתתתÛתÛÛÛתÛ ÷
÷ ÛתÛתתתתת־תתתÛתÛת÷תÛתתתתתÛתÛתתתÛ ÷
÷ ÛתÛ־ÛÛÛתÛÛÛÛÛתÛתÛתÛÛÛÛÛÛÛתÛתÛÛÛ ÷
÷ ÛתתתתתÛתתתתתתתתתÛתתת³תתתתתÛתתתÛ ÷
÷ ÛִÛÛÛתÛÛÛתÛÛÛÛÛÛÛÛÛÛÛתÛÛÛÛÛÛÛתÛ ÷
÷ ÛתתתÛתתתÛתÛתתתÛתתתתתÛתÛתתתתתÛתÛ ÷
÷ ÛתתתÛÛÛתÛÛÛתÛתÛתÝתתתÛתÛתÝתתתÛִÛ ÷
÷ ÛתתתÛת³תתתתתÛתÛתתתתת³תÛתתתתתÛתÛ ÷
÷ ÛÛÛÛÛÛÛÛÛÛÛÛÛתÛÛתÛÛÛÛתÛתתתתתÛתÛ ÷
÷ ÛתתתÛתתתÛתתתתתÛתתתתתÛתÛתתתתתÛתÛ ÷
÷ ÛÛÛתÛתתתÛתÛÛÛÛÛתתתתתÛÛÛִÛÛÛÛÛתÛ ÷
÷ ÛתתתÛתתת³תתתÛתÛתתתתתÛתתתתתתתתתÛ ÷
÷ ÛתÛתÛתתתÛÛÛתÛִÛתתתתתÛתÛתÛÛÛÛÛÛÛ ÷
÷ ÛתÛתÛתתתÛתתתÛתÛתתתתתÛִÛת³תתתתתÛ ÷
÷ ÛתÛÛÛÛÛÛÛתÛÛÛתÛÛÛÛÛÛÛתÛתÛתתתתתÛ ÷
÷ Ûתתת³תÛתÛתÛתתתתתתתתתתתÛתÛתתתתתÛ ÷
÷ ÛתÛתÛתÛתÛתÛִÛÛÛÛÛÛÛתÛÛÛÛÛתתÝתתÛ ÷
÷ ÛתÛתÛת³תÛתÛתÛתתת³תÛתÛתתתÛתתתתתÛ ÷
÷ Ûת־תÛÛÛÛÛִÛתÛÛÛתÛÛÛתÛתתתÛÛÛÛÛÛÛ ÷
÷ ÛתÛתתתÛתתתÛתתת±תÛתתתÛתתתÛתתתÛתÛ ÷
÷ ÛתÛÛÛתÛתÛÛÛÛÛÛÛÛÛִÛִÛִÛÛÛתÛתÛתÛ ÷
÷ ÛתתתÛתתתתתתתתת÷תתתÛתתתתתתתÛתתתÛ ÷
÷ ÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛÛ ÷
÷                                 ÷
ָֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽֽ¼

