[ 1] armor                 Mana:  40, Cl:  2, Mu:  5, Dr:  4
[ 2] teleport              Mana:  60, Cl: 51, Mu: 17, Dr: 51
[ 3] bless                 Mana:  20, Cl:  1, Mu: 51, Dr: 51
[ 4] blindness             Mana:  80, Cl: 14, Mu: 12, Dr: 51
[ 5] burning hands         Mana:  60, Cl: 51, Mu:  7, Dr: 51
[ 6] call lightning        Mana: 180, Cl: 45, Mu: 51, Dr: 18
[ 7] charm person          Mana:  50, Cl: 51, Mu:  4, Dr: 51
[ 8] chill touch           Mana:  40, Cl: 51, Mu:  5, Dr: 51
[ 9] clone                 Mana:  40, Cl: 61, Mu: 61, Dr: 61
[10] colour spray          Mana: 100, Cl: 51, Mu: 15, Dr: 51
[11] control weather       Mana: 100, Cl: 26, Mu: 51, Dr: 15
[12] create food           Mana:  30, Cl:  5, Mu: 51, Dr:  5
[13] create water          Mana:  30, Cl:  2, Mu: 51, Dr:  2
[14] cure blind            Mana:  40, Cl:  6, Mu: 51, Dr: 51
[15] cure critic           Mana:  50, Cl: 10, Mu: 51, Dr: 13
[16] cure light            Mana:  30, Cl:  1, Mu: 51, Dr:  2
[17] curse                 Mana:  30, Cl: 12, Mu: 13, Dr: 51
[18] detect evil           Mana:  30, Cl:  1, Mu: 51, Dr:  6
[19] detect invisibility   Mana:  30, Cl:  5, Mu:  2, Dr:  7
[20] detect magic          Mana:  30, Cl:  3, Mu:  1, Dr:  5
[21] detect poison         Mana:  10, Cl:  1, Mu: 51, Dr:  1
[22] dispel evil           Mana:  70, Cl: 21, Mu: 51, Dr: 51
[23] earthquake            Mana: 140, Cl: 18, Mu: 51, Dr: 51
[24] enchant weapon        Mana: 300, Cl: 51, Mu: 14, Dr: 51
[25] energy drain          Mana:  40, Cl: 22, Mu: 22, Dr: 51
[26] fireball              Mana: 180, Cl: 51, Mu: 35, Dr: 51
[27] harm                  Mana: 140, Cl: 25, Mu: 51, Dr: 51
[28] heal                  Mana:  80, Cl: 25, Mu: 51, Dr: 51
[29] invisibility          Mana:  50, Cl: 51, Mu:  4, Dr: 51
[30] lightning bolt        Mana:  80, Cl: 51, Mu: 11, Dr: 51
[31] locate object         Mana:  70, Cl: 11, Mu: 14, Dr: 51
[32] magic missile         Mana:  50, Cl: 51, Mu:  1, Dr: 51
[33] poison                Mana: 100, Cl: 13, Mu: 51, Dr:  8
[34] protection from evil  Mana:  30, Cl:  7, Mu: 51, Dr: 51
[35] remove curse          Mana:  60, Cl:  8, Mu: 51, Dr: 51
[36] sanctuary             Mana: 300, Cl: 26, Mu: 51, Dr: 51
[37] shocking grasp        Mana:  30, Cl: 51, Mu:  3, Dr: 51
[38] sleep                 Mana:  80, Cl: 51, Mu:  3, Dr: 51
[39] strength              Mana:  60, Cl: 51, Mu:  6, Dr: 51
[40] summon                Mana: 200, Cl: 19, Mu: 27, Dr: 51
[41] ventriloquate         Mana:  20, Cl: 51, Mu:  1, Dr: 51
[42] word of recall        Mana: 100, Cl: 15, Mu: 51, Dr: 51
[43] remove poison         Mana:  50, Cl: 17, Mu: 51, Dr:  8
[44] sense life            Mana:  50, Cl:  4, Mu:  6, Dr:  6
[45] sneak                 Mana: 200, Cl: 61, Mu: 61, Dr: 61
[46] hide                  Mana: 200, Cl: 61, Mu: 61, Dr: 61
[47] steal                 Mana: 200, Cl: 61, Mu: 61, Dr: 61
[48] backstab              Mana: 200, Cl: 61, Mu: 61, Dr: 61
[49] pick                  Mana: 200, Cl: 61, Mu: 61, Dr: 61
[50] kick                  Mana: 200, Cl: 61, Mu: 61, Dr: 61
[51] bash                  Mana: 200, Cl: 61, Mu: 61, Dr: 61
[52] rescue                Mana: 200, Cl: 61, Mu: 61, Dr: 61
[53] identify              Mana: 100, Cl: 51, Mu: 100, Dr: 51
[54] infravision           Mana:  50, Cl: 51, Mu:  8, Dr:  5
[55] cause light           Mana:  10, Cl:  1, Mu: 51, Dr:  2
[56] cause critical        Mana:  50, Cl: 10, Mu: 51, Dr: 13
[57] flamestrike           Mana: 100, Cl: 15, Mu: 51, Dr: 51
[58] dispel good           Mana:  70, Cl: 21, Mu: 51, Dr: 51
[59] weakness              Mana:  50, Cl: 51, Mu:  6, Dr: 51
[60] dispel magic          Mana: 100, Cl: 10, Mu:  9, Dr:  9
[61] knock                 Mana:  40, Cl: 51, Mu:  3, Dr: 51
[62] know alignment        Mana:  40, Cl:  4, Mu:  7, Dr:  2
[63] animate dead          Mana:  70, Cl:  8, Mu: 16, Dr: 51
[64] paralyze              Mana:  20, Cl: 20, Mu: 20, Dr: 51
[65] remove paralysis      Mana:  30, Cl:  6, Mu: 51, Dr:  9
[66] fear                  Mana:  15, Cl: 51, Mu:  8, Dr: 51
[67] acid blast            Mana:  50, Cl: 51, Mu:  7, Dr: 51
[68] water breath          Mana:  20, Cl: 51, Mu:  9, Dr:  6
[69] fly                   Mana:  30, Cl: 22, Mu: 11, Dr: 14
[70] cone of cold          Mana: 140, Cl: 51, Mu: 17, Dr: 51
[71] meteor swarm          Mana: 300, Cl: 51, Mu: 36, Dr: 51
[72] ice storm             Mana: 100, Cl: 51, Mu: 11, Dr: 51
[73] shield                Mana:  40, Cl: 51, Mu:  1, Dr: 51
[74] monsum one            Mana: 100, Cl: 51, Mu:  4, Dr: 51
[75] monsum two            Mana: 130, Cl: 51, Mu:  7, Dr: 51
[76] monsum three          Mana: 160, Cl: 51, Mu:  9, Dr: 51
[77] monsum four           Mana: 190, Cl: 51, Mu: 12, Dr: 51
[78] monsum five           Mana: 220, Cl: 51, Mu: 15, Dr: 51
[79] monsum six            Mana: 250, Cl: 51, Mu: 18, Dr: 51
[80] monsum seven          Mana: 280, Cl: 51, Mu: 22, Dr: 51
