15.255.*                Corvallis OR, USA
17.127.*                Austin TX, USA
18.23.0.*               Swampscott MA, USA
18.23.*                 Stoneham MA, USA
18.58.*                 Cambridge MA, USA
18.62.*                 Cambridge MA, USA
18.63.*                 Cambridge MA, USA
18.70.*                 Cambridge MA, USA
18.71.*                 Cambridge MA, USA
18.74.*                 Cambridge MA, USA
18.75.*                 Cambridge MA, USA
18.78.*                 Cambridge MA, USA
18.80.*                 Cambridge MA, USA
18.85.*                 Cambridge MA, USA
18.88.*                 Cambridge MA, USA
18.177.*                Cambridge MA, USA
18.186.*                Indiana, USA
18.187.*                Cambridge MA, USA
18.247.*                Cambridge MA, USA
24.92.*                 Saratoga NY, USA
24.95.37.*              Columbus OH, USA
24.192.*		Melbourne, Australia
34.212.*                Ann Arbor MI, USA
35.1.48.131             Ypsilanti MI, USA
35.1.*                  Ann Arbor MI, USA
35.8.*                  East Lansing MI, USA
35.9.*                  East Lansing MI, USA
35.133.*                Ann Arbor MI, USA
35.193.*                East Lansing MI, USA
35.195.*                Westland MI, USA
35.196.*                Flint MI, USA
35.197.*                Sterling Hts. MI, USA
35.201.*                Jackson MI, USA
35.202.*                Ann Arbor MI, USA
35.204.*                Augusta MI, USA
35.211.*                Grand Rapids MI, USA
35.212.*                Ann Arbor MI, USA
35.214.*                Muskegon MI, USA
36.21.*                 Stanford CA, USA
36.28.*                 Stanford CA, USA
36.54.*                 Stanford CA, USA
36.167.*                Palo Alto CA, USA
38.26.88.*              Troy NY, USA
38.27.*			Chicago IL, USA
38.145.*                Houston TX, USA
119.78.*                Indiana, USA
127.*                   *Localhost, here*
128.2.*                 Pittsburgh PA, USA
128.6.62.*              Gauss NJ, USA
128.6.8.2               Lando NJ, USA
128.6.*                 New Brunswick NJ, USA
128.8.*                 Washington DC, USA
128.32.*                Berkeley CA, USA
128.38.*                Dahlgren VA, USA
128.39.140.*            Gjoevik, Norway
128.39.144.*            Grimstad, Norway
128.39.145.*            Grimstad, Norway
128.39.*                <unknown>, Norway
128.40.*                London, England
128.42.*                Houston TX, USA
128.46.*                Lafayette IN, USA
128.52.*                Tulsa OK, USA
128.54.*                San Diego CA, USA
128.55.*                Cedar Rapids IA, USA
128.59.*                New York City NY, USA
128.60.*                Alexandria VA, USA
128.61.*                Atlanta GA, USA
128.83.*                Austin TX, USA
128.84.*                Ithaca NY, USA
128.91.*                Philadelphia PA, USA
128.95.*                Seattle WA, USA
128.97.*                Los Angeles CA, USA
128.100.*               Toronto Ont., Canada
128.101.*               Minneapolis MN, USA
128.103.*               Cambridge MA, USA
128.104.*               Madison WI, USA
128.105.*               Madison WI, USA
128.109.*               Raleigh NC, USA
128.110.*               Salt Lake Ct. UT, USA
128.111.*               Santa Barbara CA, USA
128.112.*               Princeton NJ, USA
128.113.*               Troy NY, USA
128.114.*               San Diego CA, USA
128.115.*               Livermore CA, USA
128.118.*               State College PA, USA
128.119.*               Amherst MA, USA
128.120.*               Davis CA, USA
128.121.*               Princeton NJ, USA
128.122.*               New York City NY, USA
128.123.*               Las Cruces NM, USA
128.125.*               Los Angeles CA, USA
128.128.*               Woods Hole MA, USA
128.130.*               Vienna, Austria
128.134.*               Handysoft Corp., Korea
128.135.*               Chicago IL, USA
128.138.*               Boulder CO, USA
128.140.*               Atlanta GA, USA
128.141.*               Geneva, Switzerland
128.143.*               Charlottesvl. VA, USA
128.146.*               Columbus OH, USA
128.148.*               Providence RI, USA
128.153.*               Potsdam NY, USA
128.155.*               Hampton VA, USA
128.157.*               Houston TX, USA
128.158.*               Redstone Arsl. AL, USA
128.159.*               Cape Canaveral FL, USA
128.162.*               Minneapolis MN, USA
128.163.*               Lexington KY, USA
128.164.*               Washington DC, USA
128.167.*               College Park MD, USA
128.169.*               Knoxville TN, USA
128.171.*               Honolulu HI, USA
128.172.*               Richmond VA, USA
128.173.*               Blacksburg VA, USA
128.174.*               Urbana IL, USA
128.175.*               Newark DE, USA
128.176.*               Muenster, Germany
128.178.*               Lausanne, Switzerland
128.183.*               Greenbelt MD, USA
128.186.*               Tallahassee FL, USA
128.187.*               Brigham Young UT, USA
128.189.*               Victoria BC, USA
128.192.*               Athens GA, USA
128.193.*               Corvallis OR, USA
128.194.*               College Station TX, USA
128.196.*               Tucson AZ, USA
128.197.*               Boston MA, USA
128.198.*               Colorado Spngs. CO, USA
128.200.*               Irvine CA, USA
128.204.*               Albany NY, USA
128.205.*               Buffalo NY, USA
128.206.1.*             Kansas City MO, USA
128.206.2.*             Columbia MO, USA
128.206.*               <unknown> MO, USA
128.210.*		West Lafayette IN, USA
128.213.*               Troy NY, USA
128.214.35.*            Kuopio, Finland
128.214.59.*            Kuopio, Finland
128.214.*               Helsinki, Finland
128.218.*               San Francisco CA, USA
128.220.*               Baltimore MD, USA
128.221.*               Albany NY, USA
128.223.*               Eugene OR, USA
128.226.*               Binghamton NY, USA
128.227.*               Gainesville FL, USA
128.228.*               New York City NY, USA
128.230.*               Syracuse NY, USA
128.231.*               Washington DC, USA
128.232.*               Cambridge, England
128.233.*               Saskatoon Sas., Canada
128.235.*               Newark NJ, USA
128.238.*               New York City NY, USA
128.239.*               Williamsburg VA, USA
128.240.*               Newcastle U.T., England
128.243.*               Nottingham, England
128.248.*               Chicago IL, USA
128.249.*               Houston TX, USA
128.250.*               Melbourne, Australia
128.251.*               Dallas TX, USA
128.252.*               St. Louis MO, USA
128.253.*               Ithaca NY, USA
128.255.*               Iowa City IA, USA
129.1.*                 Bowling Green OH, USA
129.2.*                 College Park MD, USA
129.5.*                 Hartford CT, USA
129.7.*                 Houston TX, USA
129.8.*                 Fresno CA, USA
129.10.1.*              Brockton MA, USA
129.10.9.*              Stoneham MA, USA
129.10.20.*             Lynnfield MA, USA
129.10.*                Boston MA, USA
129.11.*                Leeds, England
129.12.*                Canterbury, England
129.13.*                Karlsruhe, Germany
129.15.*                Oklahoma City OK, USA
129.16.*                Gothenburg, Sweden
129.21.*                Rochester NY, USA
129.22.*                Cleveland OH, USA
129.24.*                Albuquerque NM, USA
129.25.*                Philadelphia PA, USA
129.27.*                Graz, Austria
129.29.*                West Point NY, USA
129.31.*                Lond. Kensing., England
129.32.*                Philadelphia PA, USA
129.49.*		Stony Brook NY, USA
129.59.*                Nashville TN, USA
129.62.*                Waco TX, USA
129.63.*                Lowell MA, USA
129.64.*                Waltham MA, USA
129.65.*                San Luis Obispo CA, USA
129.66.*                Huntsville AL, USA
129.67.*                Kent, England
129.69.*                Stuttgart, Germany
129.70.*                Bielefeld, Germany
129.71.*                Morgantown WV, USA
129.72.*                Laramie WY, USA
129.74.*                Notre Dame IN, USA
129.78.*                Sydney, Australia
129.79.5.*              Paris, France
129.81.*                New Orleans LA, USA
129.82.*                Fort Collins CO, USA
129.89.*                Milwaukee WI, USA
129.93.*                Lincoln NE, USA
129.95.*                Kent WA, USA
129.96.*                Adelaide, Australia
129.97.*		Waterloo Ont., Canada
129.98.*                New York City NY, USA
129.101.*               Moscow ID, USA
129.105.*               Chicago IL, USA
129.106.*               Houston TX, USA
129.107.*               Arlington TX, USA
129.110.*               Dallas TX, USA
129.112.*               Dallas TX, USA
129.115.*               San Antonia TX, USA
129.116.*               Austin TX, USA
129.118.*               Lubbock TX, USA
129.119.*               Dallas TX, USA
129.120.*               Denton TX, USA
129.123.*               Logan UT, USA
129.125.*               Groningen, Netherlands
129.127.*               Adelaide, Australia
129.128.*		Edmonton AB, Canada
129.130.*               Manhattan KS, USA
129.131.*               Ridgecrest CA, USA
129.132.*               Zurich, Switzerland
129.133.*               Middletown CT, USA
129.135.*               Huntsville AL, USA
129.137.*               Cincinnatti OH, USA
129.138.*               Soconorro NM, USA
129.142.154.*           Copenhagen, Denmark
129.142.*               Aarhus, Denmark
